"id","title","description","link","image_link","price","sale_price","category","availability","group_id","group_leader","attributes"
"w1","Silk Slip Dress","Effortlessly elegant bias-cut slip dress in pure silk charmeuse. Adjustable spaghetti straps and a delicate lace-trimmed hem.","http://localhost:8080/product/detail.html?id=w1","https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80","189.00","","Clothing > Women","in stock","w1","true","color=Black/size=XS/gender=Women"
"w2","Linen Midi Dress","Relaxed midi-length dress in breathable European linen. Side pockets and a self-tie belt at the waist.","http://localhost:8080/product/detail.html?id=w2","https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80","165.00","","Clothing > Women","in stock","w2","true","color=White/size=S/gender=Women"
"w3","Wrap Dress","Classic wrap silhouette in matte jersey. Universally flattering with a fluid A-line skirt.","http://localhost:8080/product/detail.html?id=w3","https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80","175.00","","Clothing > Women","in stock","w3","true","color=Navy/size=M/gender=Women"
"w4","Maxi Shirt Dress","Floor-length shirt dress in cotton poplin. Button-through front with a cinched waist.","http://localhost:8080/product/detail.html?id=w4","https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80","195.00","","Clothing > Women","in stock","w4","true","color=Beige/size=L/gender=Women"
"w5","Cocktail Dress","Sculptural cocktail dress in double-face crepe. Asymmetric neckline with a fitted bodice.","http://localhost:8080/product/detail.html?id=w5","https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80","285.00","","Clothing > Women","in stock","w5","true","color=Brown/size=XL/gender=Women"
"w6","Floral Midi Dress","Romantic floral-print dress in viscose georgette. Tiered skirt with a smocked bodice.","http://localhost:8080/product/detail.html?id=w6","https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80","155.00","","Clothing > Women","in stock","w6","true","color=Grey/size=XS/gender=Women"
"w7","Satin Slip Dress","Liquid satin slip dress with cowl neckline. Bias-cut for a body-skimming silhouette.","http://localhost:8080/product/detail.html?id=w7","https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80","210.00","","Clothing > Women","in stock","w7","true","color=Camel/size=S/gender=Women"
"w8","Knit Bodycon Dress","Ribbed knit dress that hugs every curve. Crew neck with long sleeves and midi length.","http://localhost:8080/product/detail.html?id=w8","https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80","145.00","","Clothing > Women","in stock","w8","true","color=Ivory/size=M/gender=Women"
"w9","Tiered Maxi Dress","Flowing tiered maxi in printed cotton voile. Adjustable tie straps and a shirred back.","http://localhost:8080/product/detail.html?id=w9","https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80","185.00","","Clothing > Women","in stock","w9","true","color=Red/size=L/gender=Women"
"w10","Blazer Dress","Sharp double-breasted blazer dress with peak lapels. A power piece for day or evening.","http://localhost:8080/product/detail.html?id=w10","https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80","225.00","","Clothing > Women","in stock","w10","true","color=Green/size=XL/gender=Women"
"w11","Pleated Shirt Dress","Cotton shirt dress with permanent knife pleats below the waist. Cuffed three-quarter sleeves.","http://localhost:8080/product/detail.html?id=w11","https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80","175.00","","Clothing > Women","in stock","w11","true","color=Black/size=XS/gender=Women"
"w12","Off-Shoulder Dress","Romantic off-shoulder dress in cotton poplin. Puffed sleeves with an elasticated neckline.","http://localhost:8080/product/detail.html?id=w12","https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80","165.00","","Clothing > Women","in stock","w12","true","color=White/size=S/gender=Women"
"w13","Velvet Mini Dress","Luxurious velvet mini dress with a square neckline. Perfect for evening occasions.","http://localhost:8080/product/detail.html?id=w13","https://images.unsplash.com/photo-1469334031218-e382a71b716b?w=400&h=500&fit=crop&q=80","195.00","","Clothing > Women","in stock","w13","true","color=Navy/size=M/gender=Women"
"w14","Tweed Shift Dress","Structured shift dress in Italian bouclé tweed. Fringe trim at hem and pockets.","http://localhost:8080/product/detail.html?id=w14","https://images.unsplash.com/photo-1554568218-0f1715e72254?w=400&h=500&fit=crop&q=80","235.00","","Clothing > Women","in stock","w14","true","color=Beige/size=L/gender=Women"
"w15","Jersey Wrap Dress","Easy-care matte jersey wrap dress. Perfect from desk to dinner with a simple belt change.","http://localhost:8080/product/detail.html?id=w15","https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=400&h=500&fit=crop&q=80","125.00","","Clothing > Women","in stock","w15","true","color=Brown/size=XL/gender=Women"
"w16","Embroidered Maxi Dress","Hand-embroidered maxi dress in organic cotton. Intricate floral motifs along the bodice.","http://localhost:8080/product/detail.html?id=w16","https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=500&fit=crop&q=80","265.00","","Clothing > Women","in stock","w16","true","color=Grey/size=XS/gender=Women"
"w17","Denim Shirt Dress","Soft-washed denim dress with a relaxed fit. Roll-tab sleeves and chest pockets.","http://localhost:8080/product/detail.html?id=w17","https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=500&fit=crop&q=80","135.00","","Clothing > Women","in stock","w17","true","color=Camel/size=S/gender=Women"
"w18","Sequin Mini Dress","All-over sequin mini dress for statement evenings. Lined in silk with a concealed back zip.","http://localhost:8080/product/detail.html?id=w18","https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=400&h=500&fit=crop&q=80","295.00","","Clothing > Women","in stock","w18","true","color=Ivory/size=M/gender=Women"
"w19","Cable Knit Dress","Chunky cable-knit sweater dress in merino wool. Relaxed fit falling just above the knee.","http://localhost:8080/product/detail.html?id=w19","https://images.unsplash.com/photo-1485968579580-b6d095142e6e?w=400&h=500&fit=crop&q=80","165.00","","Clothing > Women","in stock","w19","true","color=Red/size=L/gender=Women"
"w20","Pinafore Dress","Layering-ready pinafore in sturdy cotton twill. Square neckline with adjustable straps.","http://localhost:8080/product/detail.html?id=w20","https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=400&h=500&fit=crop&q=80","115.00","","Clothing > Women","in stock","w20","true","color=Green/size=XL/gender=Women"
